name,region,address,zip_town,tel,email,website,open,km_from_reykjavik,km_from_seydisfjordur,lat,lon,facilities,maps_url,page
Bakkafjörður,North Iceland,Skólagata 5,685 Bakkafjörður,003546110345,farnorthiceland@proton.me,www.northeasticeland.com,15. May – 1. Oct,633,184,66.11769059896457,-15.206080302370564,Tent; Toilets; Cold water; Open fires forbidden; Waste; Mountain view; Restaurant; Motorhome waste disposal; Gasoline; Hikes; Electricity; Dogs on a leash allowed; Caravan; BBQ facilities; Chairs & Tables; Alcohol; Sports field; Coffee shop; Shower,"https://www.google.com/maps?q=66.11769059896457,-15.206080302370564",https://utilegukortid.is/bakkafjordur/?lang=en
Húsavík,North Iceland,"Héðinsbraut, 640 Húsavík, Iceland",640 Húsavík,003547920160,camping.husavik@gmail.com,,May 15 – September 15,464,247,66.05175667844647,-17.346502486397384,Toilets; Washing machine; Playground; Golf; Electricity; Swimming pool; Dogs on a leash allowed; Hikes,https://maps.app.goo.gl/Seu5khffo2uKNeyE8,https://utilegukortid.is/husavik/?lang=en
Kópasker,North Iceland,Austurtröð 4,670 Kópasker,4652180,nordurthing@nordurthing.is,nordurthing.is,1st of June – 1st of September,559,244,66.30107920389516,-16.459978281290997,Tent; Toilets; Cold water; Open fires forbidden; Supermarket; Mountain view; Shower; Hospital; Gasoline; Hikes; Electricity; Coffee shop; BBQ facilities; Chairs & Tables,"https://www.google.com/maps?q=66.30107920389516,-16.459978281290997",https://utilegukortid.is/kopasker/?lang=en
Möðrudalur – Fjalladýrð,North Iceland,Möðrudalur,601 Mývatn,003548940758,fjalladyrd@fjalladyrd.is,www.fjalladyrd.is,20th of May – 10th of September,541km,136,65.36815113018771,-15.917689610966315,Tent; Toilets; Cold water; Waste; Supermarket; Mountain view; Playground; Restaurant; Shower; Motorhome waste disposal; Fishing; Gasoline; Hikes; Cooking facilities; Electricity; Dogs on a leash allowed; Coffee shop; BBQ facilities; Chairs & Tables; Alcohol,"https://www.google.com/maps?q=65.36815113018771,-15.917689610966315",https://utilegukortid.is/modrudalur-fjalladyrd/?lang=en
Siglufjörður,North Iceland,Gránugata,580 Siglufjörður,003548880349,evanger@evanger.is,www.fjallabyggd.is,15th of May – 15th of October (depends on weather),386,351,66.14959256499083,-18.91268223524091,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Wheelchair accessible; Waste; Sports field; Supermarket; Mountain view; Playground; Restaurant; Shower; Hot tubs; Indoor pool; Motorhome waste disposal; Hospital; Golf; Fishing; Gasoline; Hikes; Dryer; Electricity; Washing machine; Dogs on a leash allowed; Coffee shop; Chairs & Tables; Alcohol,"https://www.google.com/maps?q=66.14959256499083,-18.91268223524091",https://utilegukortid.is/siglufjordur/?lang=en
Skagaströnd,North Iceland,Hólabraut 35,545 Skagaströnd,003547760040,skagastrond.camping@gmail.com,https://www.skagastrond.is/is/thjonusta/tjaldsvaedi,1. may – 15. september,266,436,65.82919050306651,-20.314719506707902,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Waste; Sports field; Supermarket; Mountain view; Playground; Restaurant; Shower; Swimming pool; Motorhome waste disposal; Golf; Fishing; Gasoline; Hikes; Horse facilities; Cooking facilities; Dryer; Electricity; Washing machine; Dogs on a leash allowed; Coffee shop; Chairs & Tables; Alcohol,"https://www.google.com/maps?q=65.82919050306651,-20.314719506707902",https://utilegukortid.is/skagastrond/?lang=en
Tjaldsvæði Kiðagils,North Iceland,"Kiðagil, Bárðardal",641 Húsavík,003544643290,kidagil@kidagil.is,www.kidagil.is,June 1 – September 15,456,263,65.47981774988817,-17.109294787859586,Toilets; Cold water; Playground; Electricity; Waste; Restaurant; Alcohol; Chairs & Tables,https://maps.app.goo.gl/2Qj882JMbTpXis4j9,https://utilegukortid.is/tjaldsvaedi-kidagils/?lang=en
Ólafsfjörður,North Iceland,Ólafsvegi 4,625 Ólafsfirði,8670251,gudlaugur@keyrum.is,https://www.facebook.com/campingolafsfjordur,15th of May–15th of October,178,665,66.08002708834329,-18.724834157648345,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Waste; Sports field; Supermarket; Mountain view; Restaurant; Shower; Swimming pool; Motorhome waste disposal; Hospital; Golf; Fishing; Hikes; Dryer; Electricity; Washing machine; Dogs on a leash allowed; Coffee shop; Chairs & Tables,"https://www.google.com/maps?q=66.08002708834329,-18.724834157648345",https://utilegukortid.is/olafsfjordur/?lang=en
Þórshöfn,North Iceland,við Miðholt,,003544681515, thjonustumidstod@langanesbyggd.is,www.langanesbyggd.is,1st of June – 31st of August,621,224,66.19742199576915,-15.335082178090646,Tent; Toilets; Cold water; Open fires forbidden; Waste; Sports field; Supermarket; Mountain view; Restaurant; Shower; Hot tubs; Indoor pool; Motorhome waste disposal; Hospital; Fishing; Gasoline; Hikes; Dryer; Electricity; Washing machine; Dogs on a leash allowed; Coffee shop; Chairs & Tables; Alcohol,"https://www.google.com/maps?q=66.19742199576915,-15.335082178090646",https://utilegukortid.is/thorshofn/?lang=en
Seyðisfjörður,East Iceland,Ránargata 1,710 Seyðisfjörður,7920070,camping.seydisfjordur@gmail.com,www.visitseydisfjordur.com,April 1st – October 31.,662km,0,65.26221137499434,-14.015915742298453,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Waste; Sports field; Supermarket; Mountain view; Playground; Restaurant; Shower; Indoor pool; Motorhome waste disposal; Hospital; Golf; Fishing; Gasoline; Hikes; Dryer; Electricity; Washing machine; Coffee shop; BBQ facilities; Chairs & Tables; Alcohol,"https://www.google.com/maps?q=65.26221137499434,-14.015915742298453",https://utilegukortid.is/seydisfjordur/?lang=en
Studlagil Canyon,East Iceland,"við Grund Jökuldal, eða Stuðlagil Canyon",,00354866 0046,studlagilcanyon@gmail.com,www.studlagil.is,May 1 – September 30,601,70,65.1650833,-15.3153318,Tent; Toilets; Cold water; Waste; Mountain view; Hikes; Chairs & Tables; Open fires forbidden; Hot water; Motorhome waste disposal; Shower,https://maps.app.goo.gl/BYF6p8BCaKo85fPb8,https://utilegukortid.is/studlagil-canyon/?lang=en
Svartiskógur,East Iceland,Hó,701 Egilsstaðir,003544711030,info@northeasticeland.com,www.svartiskogur.is,16. May – 12. sept,618,60,65.51396380157529,-14.566936022332827,Chairs & Tables; Hot water; Cold water; Shower; Toilets; Waste,"https://www.google.com/maps?q=65.51396380157529,-14.566936022332827",https://utilegukortid.is/svartiskogur/?lang=en
Tjaldvæðið Bragðavöllum,East Iceland,Bragðavellir,766 Djúpavogur,003548661735,camping@bragdavellir.is,,1. May – 15. September,541,122,64.64405119999999,-14.5165811,Chairs & Tables; Hot water; Cold water; Shower; Toilets; Waste,https://maps.app.goo.gl/Uevw9jZx1fMAbuLV7,https://utilegukortid.is/tjaldvaedid-bragdavollum/?lang=en
At Faxi,South Iceland,Biskupstungnabraut,806 Selfoss,003547747440,vidfaxa@gmail.com,facebook.com/vidfaxa/,20. maí –30. september,105,633,64.22640538363135,-20.339620883401828,Tent; Caravan; Toilets; Hot water; Cold water; Waste; Hikes; Dogs on a leash allowed; Electricity; Open fires forbidden; Motorhome waste disposal; Shower,"https://www.google.com/maps?q=64.22640538363135,-20.339620883401828",https://utilegukortid.is/at-faxi/?lang=en
Kleifarmörk,South Iceland,Kleifar-Mörk,,4874675 / 8617546 / 8637546,kleifar68@simnet.is,,1st of June – 31st of August,259,404,63.627326008145246,-19.06290584094458,Tent; Toilets; Cold water; Open fires forbidden; Waste; Sports field; Swimming pool; Supermarket; Restaurant; Golf; Gasoline; Hikes; Dogs on a leash allowed; Coffee shop; Chairs & Tables,"https://www.google.com/maps?q=63.627326008145246,-19.06290584094458",https://utilegukortid.is/kleifarmork/?lang=en
Laugarvatn,South Iceland,"Dalbraut, 806",840 Laugarvatn,003548888890,vinarstraeti840@gmail.com,www.vinarstraeti.is,1. June–1. October,78,641,64.222074,-20.7330947,Tent; Toilets; Hot water; Cold water; Waste; Mountain view; Restaurant; Information; Gasoline; Hikes; Wheelchair accessible; Electricity; Dogs on a leash allowed; Caravan; BBQ facilities; Chairs & Tables; Shower; Swimming pool; Horse rental; Golf; Alcohol; Boat rental; Playground; Coffee shop; Supermarket; Fishing,https://maps.app.goo.gl/Q3fqakHY5SbLpBGXA,https://utilegukortid.is/laugarvatn/?lang=en
Sandgerði,South Iceland,Byggðavegi,,003548548424,info@airportcamping.is,www.airportcamping.is,all year round,56,710,64.03933993354691,-22.69984768311349,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Waste; Sports field; Supermarket; Mountain view; Restaurant; Shower; Swimming pool; Hot tubs; Motorhome waste disposal; Golf; Fishing; Gasoline; Hikes; Dryer; Electricity; Washing machine; Dogs on a leash allowed; Coffee shop; Chairs & Tables; Alcohol,"https://www.google.com/maps?q=64.03933993354691,-22.69984768311349",https://utilegukortid.is/sandgerdi/?lang=en
Skjól,South Iceland,Kjóastaðir,801 Geysir,003548994541,info@skjolcenter.is,skjolcenter.is,May 21 – September 10,110,647,64.32566509677304,-20.418212211796355,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Wheelchair accessible; Waste; Wifi; Sports field; Mountain view; Playground; Restaurant; Shower; Hot tubs; Indoor pool; Information; Hospital; Horse rental; Golf; Gasoline; Hikes; Electricity; Dogs on a leash allowed; Coffee shop; BBQ facilities; Chairs & Tables; Alcohol,"https://www.google.com/maps?q=64.32566509677304,-20.418212211796355",https://utilegukortid.is/skjol/?lang=en
Stokkseyri,South Iceland,Sólvellir,825 Stokkseyri,003548962144,camping.stokkseyri@gmail.com,Instagram og www.stokkseyri.is,May 1 – September 15,66,617,63.83593472270197,-21.088325422409454,Tent; Toilets; Hot water; Cold water; Wheelchair accessible; Waste; Sports field; Playground; Shower; Swimming pool; Motorhome waste disposal; Hikes; Electricity; Washing machine; Dogs on a leash allowed; Coffee shop; BBQ facilities,"https://www.google.com/maps?q=63.83593472270197,-21.088325422409454",https://utilegukortid.is/stokkseyri/?lang=en
Þorlákshöfn,South Iceland,Skálholtsbraut (við kirkjuna),,003548882021,camping.thorlakshofn@gmail.com,www . olfus.is facebook,,54,631,63.852009349461184,-21.391515476888365,Tent; Toilets; Hot water; Cold water; Open fires forbidden; Waste; Sports field; Supermarket; Mountain view; Playground; Restaurant; Swimming pool; Motorhome waste disposal; Hospital; Golf; Fishing; Gasoline; Hikes; Electricity; Dogs on a leash allowed; Coffee shop; BBQ facilities; Chairs & Tables; Alcohol,"https://www.google.com/maps?q=63.852009349461184,-21.391515476888365",https://utilegukortid.is/thorlakshofn/?lang=en
