name,lat,lon,on_card,card_name,card_open,opening_hours,seasonal,operator,website,phone,shower,toilets,drinking_water,power_supply,osm
Básar,63.677637,-19.481285,,,,,,,https://www.utivist.is,+354 893 2910,,,,,https://www.openstreetmap.org/node/685898655
Bíldudalur Camping Ground,65.683381,-23.603668,,,,,,,,,,,,,https://www.openstreetmap.org/node/12985225409
Búðardalur,65.107966,-21.764773,yes,Tjaldsvæðið búðardal,1. maí –30. september,,,,https://www.visitdalir.is,+354 767 2100,,,,,https://www.openstreetmap.org/way/494269431
CJA Campsite,65.702698,-17.348607,,,,,,,https://cja.is/,+354 864 3757,yes,yes,yes,yes,https://www.openstreetmap.org/way/485468438
Camp Egilsstaðir,65.258233,-14.408729,,,,"Jun-Aug 07:00-23:00; Sep 08:00-14:00, 16:00-23:00; Oct-May Mo-Su 08:30-12:30",,,https://campegilsstadir.is/,+354 470 0750,,,,,https://www.openstreetmap.org/way/249836961
Camper Resort Reykjavík,64.146878,-21.809832,,,,,,,,+354 587 4000,,,,,https://www.openstreetmap.org/way/712155124
Camping 66.12° North,66.200038,-17.102987,,,,,,,https://www.facebook.com/camping66.12,+354 866 2424;+354 898 0424,,yes,,,https://www.openstreetmap.org/node/5776372647
Camping Berunes,64.697671,-14.254113,,,,Apr 1 - Oct 1,,,https://berunes.is/,+354 478 8988,yes,yes,yes,yes,https://www.openstreetmap.org/way/1279750714
Camping Borðeyri,65.21125,-21.096592,,,,,,,,+354 849 7891,no,yes,,yes,https://www.openstreetmap.org/way/1080918601
Camping Mjóanes,65.151478,-14.63385,,,,,,,https://mjoanes.is/,+354 847 6509,,,,,https://www.openstreetmap.org/node/13068615726
Camping Volcano Huts,63.691248,-19.540079,,,,,,,,,,,,,https://www.openstreetmap.org/node/477368841
Campsite Reception,64.015374,-16.975225,,,,18:00 - 20:00,,,,,yes,yes,yes,yes,https://www.openstreetmap.org/way/1274063239
Dalbær,66.101031,-22.571885,,,,,,,,,,,,,https://www.openstreetmap.org/node/4336206392
Djupivogur,64.655668,-14.284642,,,,,,,https://www.hotelframtid.com/,+354 478 8887,yes,yes,yes,yes,https://www.openstreetmap.org/way/486518346
Drekaskáli,65.041575,-16.594043,,,,,,,,,,,,,https://www.openstreetmap.org/way/126277392
Drekaskáli Warden Cabin,65.042369,-16.595591,,,,,,,,,,,yes,,https://www.openstreetmap.org/node/1604973950
Emstrur,63.766481,-19.373276,,,,,,,,,,,,,https://www.openstreetmap.org/way/333123344
Eyjólfsstaðir,64.75621,-14.497936,,,,,,,https://fossardalur.is/,+354 820 4379,,,,,https://www.openstreetmap.org/way/300366520
Fagrabrekka,64.276843,-21.095833,,,,,,,,,no,yes,yes,yes,https://www.openstreetmap.org/way/169545287
Fljótshlíð,63.723675,-20.013314,,,,,,,,,hot,yes,,,https://www.openstreetmap.org/node/2931428970
Flókalundur,65.577333,-23.172448,,,,,,,http://www.flokalundur.is/tjaldsvaedi/,+354 456 2011,,,,,https://www.openstreetmap.org/way/484519126
Fossatún,64.594544,-21.574509,,,,,,,,,yes,yes,yes,yes,https://www.openstreetmap.org/way/298941672
Furufjörður,66.270156,-22.236435,,,,,,,,,,,,,https://www.openstreetmap.org/node/4393994970
Gata Free Camping,63.829787,-21.678618,,,,24/7,,,https://www.facebook.com/pages/Free-Camping/98659333547,+354 483 1011;+354 863 9355,yes,yes,yes,no,https://www.openstreetmap.org/way/485083920
Geldingafell,64.694134,-15.360801,,,,,,,,,,,,,https://www.openstreetmap.org/node/6655030457
Gesthús Selfoss,63.932819,-20.988708,,,,,,,https://www.gesthus.is/english/campsite/,+354 482 3585,,,,,https://www.openstreetmap.org/way/243497921
Glúmsstaðir,66.410167,-22.874399,,,,,,,,,,,,,https://www.openstreetmap.org/way/1427741675
Grenivík,65.949688,-18.173145,,,,,,,,+354 414 5421;+354 863 4279,,,,,https://www.openstreetmap.org/way/485357133
Grundarfjörður,64.920593,-23.258617,yes,Grundarfjörður,1st of May – 15th of September,Jun 1-Sep 15: 0:00-24:00,,,https://www.grundarfjordur.is/,+354 831 7242,no,yes,yes,yes,https://www.openstreetmap.org/way/203775845
Hallkelsstaðahlíð,64.903326,-22.150504,,,,,,,https://www.hallkelsstadahlid.is/,,,yes,yes,,https://www.openstreetmap.org/node/8977990680
Happy Campsite Keflavík,63.970581,-22.508599,,,,,,Happy Campers,,,,,,,https://www.openstreetmap.org/way/1072059928
Haukafell,64.345656,-15.503958,,,,,,,,,yes,yes,yes,yes,https://www.openstreetmap.org/way/38081955
Hegranes,65.736041,-19.478603,,,,,,,,,,,,,https://www.openstreetmap.org/node/5894882906
Heiðarbær,65.888893,-17.32009,,,,,,,https://www.heidarbaer.is/,+354 464 3903,,,,no,https://www.openstreetmap.org/way/484570665
Hella Gaddstaðaflatir,63.828601,-20.398809,,,,,,,,+354 776 0030,,yes,yes,,https://www.openstreetmap.org/way/751539432
Hellishólar,63.726295,-20.039428,,,,,,,https://www.hellisholar.is/,+354 487 8360,,,,,https://www.openstreetmap.org/way/484908052
Hengifoss,65.025821,-14.971978,,,,,,,https://hengifossguest.is,+354 865 1683,,,yes,,https://www.openstreetmap.org/way/486524008
Herjólfsdalur,63.442497,-20.297991,,,,,,,https://www.glampingandcamping.is/,+354 846 9111,,,,,https://www.openstreetmap.org/way/37921519
Herðubreiðarlindir,65.193181,-16.222253,,,,,,,,,,,,,https://www.openstreetmap.org/node/460436747
Heydalur,65.842303,-22.675498,,,,,,,https://www.heydalur.is,+354 456 4824,hot,yes,yes,cee_17_blue,https://www.openstreetmap.org/way/496419764
Hjalli,64.304295,-21.542279,,,,,,,https://www.campsire.com/is/campsites-west-iceland/hjalli-kjos-campsite,,yes,yes,,yes,https://www.openstreetmap.org/way/67629319
Hlaðir,64.410625,-21.611685,yes,Tjaldsvæði að Hlöðum,23. maí – 31. ágúst,,,,https://www.hladir.is/,+354 433 8877;+354 660 8585,yes,yes,yes,yes,https://www.openstreetmap.org/way/368848611
Hlíð,65.649093,-16.916278,,,,,,,https://www.myvatnaccommodation.is/,+354 464 4103,,,,,https://www.openstreetmap.org/way/295074392
Hlöðuvík,66.414501,-22.670809,,,,,,,,,,,,,https://www.openstreetmap.org/node/836158969
Hofsós,65.898179,-19.403982,,,,,,,https://tjoldumiskagafirdi.is/is/hofsos/,+354 899 3231,,,,,https://www.openstreetmap.org/way/357813328
Horn,66.442264,-22.437906,,,,,,,,,,,,,https://www.openstreetmap.org/node/4393973721
Hornbjargsviti,66.410435,-22.380545,,,,,,,,,,,,,https://www.openstreetmap.org/node/4393980657
Hornvík,66.425928,-22.490353,,,,,,,,,,,,,https://www.openstreetmap.org/node/836159108
Hraunborgir,64.03213,-20.814398,,,,,,,,+354 486 4414,,,,,https://www.openstreetmap.org/way/485057090
Hvammstangi,65.402263,-20.926789,,,,May 15-Oct 15 0:00-24:00,,,https://tjalda.is/kirkjuhvammur/,+354 899 0008,no,yes,yes,yes,https://www.openstreetmap.org/way/484502918
Hvannabrekka,64.281791,-21.091355,,,,,,Þingvallanefnd,,,,,,,https://www.openstreetmap.org/way/28310678
Hvanngil,63.831612,-19.20533,,,,,,,,,,,,,https://www.openstreetmap.org/way/839648786
Hveravellir,64.86628,-19.55275,,,,,,,https://hveravellir.is/,+354 452 4200,yes,yes,yes,,https://www.openstreetmap.org/node/12222002620
Hveravík,65.700918,-21.56201,,,,,,,http://hveravik.is/,+354 698 3105,,,,,https://www.openstreetmap.org/node/11373186992
Hverinn,64.654553,-21.406202,,,,,,,https://www.hverinn.is/,+354 571 4433;+354 863 0090,yes,yes,yes,yes,https://www.openstreetmap.org/way/423709326
Hvítárnes,64.616734,-19.75692,,,,,,,,,,,,,https://www.openstreetmap.org/way/700962341
Hólaskjól,63.907059,-18.604177,,,,,,,https://www.eldgja.is/,+354 855 5812;+354 855 5813,yes,yes,,,https://www.openstreetmap.org/way/485054825
Höfðavík,65.099292,-14.739918,,,,,,,,,,,,,https://www.openstreetmap.org/way/26159510
Hörgsland,63.842699,-17.950838,,,,,,,https://www.horgsland.is/,+354 487 6655,,,,,https://www.openstreetmap.org/way/485056196
Höskuldsskáli,63.932771,-19.165292,,,,,,,,,,,,,https://www.openstreetmap.org/way/839657803
Húnavellir,65.540426,-20.206138,,,,,,,https://hunavellir.is/campsite/,+354 456 4500,,,,,https://www.openstreetmap.org/way/485374065
Kerlingarfjöll,64.683826,-19.303482,,,,,,,https://www.kerlingarfjoll.is/,+354 664 7878,,,,,https://www.openstreetmap.org/way/38515213
Kidagil,65.501613,-17.459078,,,,,,,https://www.kidagil.is/,+354 464 3290,,,,,https://www.openstreetmap.org/way/485463654
Kirkjubær II,63.792439,-18.050859,,,,,,,https://kirkjubaer.com/,+354 487 4612;+354 894 4495,,,,,https://www.openstreetmap.org/way/168916937
Korpudalur,65.983829,-23.339154,,,,,,,http://www.korpudalur.is/,+354 456 7808,yes,yes,yes,yes,https://www.openstreetmap.org/way/496422849
Krákuvör,65.372662,-22.917055,,,,,,,,,,,,,https://www.openstreetmap.org/way/236016857
Kverkfjöll / Sigurðarskáli,64.747338,-16.631409,,,,,,,,,,,,,https://www.openstreetmap.org/node/2397288400
Kópasker,66.300977,-16.442748,yes,Kópasker,1st of June – 1st of September,,,,https://www.nordurthing.is/,+354 864 2157,,,,,https://www.openstreetmap.org/way/484572426
Lambeyri,65.464714,-19.350462,,,,,,,,,yes,yes,yes,yes,https://www.openstreetmap.org/way/1347942980
Landmannahellir,64.053443,-19.241954,,,,,,,,,,,,,https://www.openstreetmap.org/way/233318335
Landmannalaugar,63.990633,-19.059176,,,,,,,,,,,,,https://www.openstreetmap.org/way/25469557
Langisjór Campground,64.11114,-18.443604,,,,,,,,,,,,,https://www.openstreetmap.org/node/6441621029
Laugafell,65.027515,-18.330839,,,,,,,,,,,,,https://www.openstreetmap.org/node/5039686322
Laugaland,63.916461,-20.414488,,,,,,,,+354 895 6543,,,,,https://www.openstreetmap.org/way/484904679
Laugar Camping,65.721794,-17.362383,,,,,,,https://reisa.is/en/laugar/,,yes,yes,yes,yes,https://www.openstreetmap.org/way/485467880
Laugar í Sælingsdal,65.246883,-21.802392,,,,,,,https://dalahotel.is/,+354 444 4930,yes,yes,yes,yes,https://www.openstreetmap.org/way/484505986
Laugarfell Campsite,64.885345,-15.351562,,,,,,Laugarfell Hot Spring & Accommodation,https://laugarfell.is/camping/,,yes,yes,yes,yes,https://www.openstreetmap.org/node/12875022446
Laugarhóll,65.781336,-21.516393,,,,,,,https://parka.is/camping/?date_from=&date_to=&region=&search=Laugarh%C3%B3ll+,,no,yes,yes,no,https://www.openstreetmap.org/node/5041029721
Laugarvatn,64.221809,-20.731133,yes,Laugarvatn,1. June–1. October,,,,,+354 615 5848,yes,yes,yes,yes,https://www.openstreetmap.org/way/485061519
Lindartunga,64.82082,-22.256851,,,,,,,,,,,,,https://www.openstreetmap.org/node/12097315901
Melanes,65.445821,-23.954374,,,,,,,,+354 783 6600,yes,,yes,yes,https://www.openstreetmap.org/way/496423588
Mosskógar,64.179757,-21.61663,,,,,,,,+354 663 6173,yes,yes,yes,yes,https://www.openstreetmap.org/way/222003125
Myllulækur,64.348133,-15.258671,,,,,,,,+354 867 4336,,,,,https://www.openstreetmap.org/node/9896956630
Múlaskáli,64.55192,-15.1496,,,,,,Ferðafélag Austur-Skaftfellinga,,,,,,,https://www.openstreetmap.org/way/708231840
Núpur í Dýrafirði,65.929508,-23.587149,,,,,,,http://www.hotelnupur.is,+354 456 8235,,,,,https://www.openstreetmap.org/way/496426811
Nýidalur,64.735925,-18.074412,,,,,,,,,,,,,https://www.openstreetmap.org/way/978998334
Rammalóðin,66.149184,-18.905137,yes,Siglufjörður,15th of May – 15th of October (depends on weather),,,,https://utilegukortid.is/siglufjoerdur/,+3548880349,,,,,https://www.openstreetmap.org/node/12968980403
Reyðarfellsskógur,64.694499,-20.942881,,,,,,,,,,,,,https://www.openstreetmap.org/way/771319047
Saeberg Camping,65.259702,-21.109645,,,,24/7,,,,,hot,yes,yes,yes,https://www.openstreetmap.org/node/4328444297
Sandártunga,64.10495,-19.952423,,,,summer,,,https://tjalda.is/thjorsardalur/,+354 893 8889,no,,yes,no,https://www.openstreetmap.org/way/192491197
Selsskógur,64.527013,-21.5787,,,,,,,,+354 789 8442,,,,,https://www.openstreetmap.org/way/243658175
Skaftafell,64.016001,-16.97294,,,,"open ""All year""",,,https://www.vatnajokulsthjodgardur.is/en/areas/skaftafell/tjaldsvaedid-i-skaftafelli,+354 470 8300,yes,yes,yes,yes,https://www.openstreetmap.org/way/169885062
Skagaströnd,65.826144,-20.291891,yes,Skagaströnd,1. may – 15. september,,,,https://www.skagastrond.is/,+354 848 7706,,,,,https://www.openstreetmap.org/way/196660982
Skjól,64.310655,-20.231833,,,,,,,http://www.skjolcamping.com/,+354 899 4541,yes,yes,yes,yes,https://www.openstreetmap.org/way/358562074
Skælingar,63.980589,-18.522333,,,,,,,,,,,,,https://www.openstreetmap.org/node/2260042976
Smiðjuvík,66.362862,-22.278156,,,,,,,,,,,,,https://www.openstreetmap.org/node/4393992357
Snorrastaðir,64.773475,-22.30108,,,,,,,https://www.snorrastadir.is/,,yes,yes,,,https://www.openstreetmap.org/way/520826919
Snæfell,64.804202,-15.641512,,,,,,,http://www.vjp.is,+354 842 4367,,,yes,,https://www.openstreetmap.org/way/493382103
Stafafell,64.421257,-14.846489,,,,,,,,,,,,,https://www.openstreetmap.org/way/604751560
Stokkseyri,63.836681,-21.055284,,,,,,,,+354 896 2144,yes,,,,https://www.openstreetmap.org/way/326993700
Strákagil,63.675695,-19.468643,,,,,,Útivist,,,,,,,https://www.openstreetmap.org/way/1303068068
Strútslaug,63.87546,-18.944485,,,,,,,,,,,,,https://www.openstreetmap.org/node/5777739338
Strútur á Mælifellssandi,63.838651,-18.975844,,,,,,,https://www.utivist.is/skalar/strutur-a-maelifellssandi,+354 562 1000,,,,,https://www.openstreetmap.org/way/493382525
Stuðlagil,65.164322,-15.310887,yes,Studlagil Canyon,May 1 – September 30,,,,https://studlagil.is/camping/,,,,,,https://www.openstreetmap.org/way/1080246473
Stóri-Lambhagi 4 Tjaldsvæði,64.390643,-21.828067,,,,,,,,+3548652003,,,,,https://www.openstreetmap.org/way/1418661987
Suðureyri,66.130938,-23.529287,,,,,,,,+354 450 9000,,,,,https://www.openstreetmap.org/node/4954364358
Svinafell,63.978824,-16.852719,,,,,,,https://svinafell.com/,+354 478 1765;+354 868 8193,yes,yes,yes,,https://www.openstreetmap.org/way/442013614
Systragil,65.7071,-17.898263,,,,,,,https://www.systragil.is/,+354 860 2213,,,,,https://www.openstreetmap.org/way/485491137
Sæból,66.341415,-23.097284,,,,,,,,,,,,,https://www.openstreetmap.org/node/610811381
Sólbrekka,65.204913,-13.798961,,,,,,,https://mjoifjordur.weebly.com/,+354 894 9014,,,,,https://www.openstreetmap.org/node/4876526302
T-bær,63.832768,-21.687583,,,,,,,,+354 483 3150;+354 663 3723,,,,,https://www.openstreetmap.org/way/484882324
Tjaldmiðstöðin Flúðum,64.138295,-20.329822,,,,,,,https://www.tjaldmidstod.is/,+354 618 5005,yes,,,,https://www.openstreetmap.org/way/241958700
Tjaldstæði Fáskrúðsfjarðar,64.936557,-14.036238,,,,,,,https://www.visitfjardabyggd.is/,+354 776 0062,,,,,https://www.openstreetmap.org/way/481202141
Tjaldstæði Húnaveri,65.522184,-19.800246,,,,,,,http://www.northwest.is,+354 452 7110,,,,,https://www.openstreetmap.org/way/244172704
Tjaldstæði Raufarhafnar,66.447926,-15.941953,,,,,,,https://www.nordurthing.is/,+354 468 1515,,,,,https://www.openstreetmap.org/way/208682910
Tjaldstæði Stöðvarfjarðar,64.832638,-13.861713,,,,,,,https://campeast.is,+354 477 1122,,,,,https://www.openstreetmap.org/way/213141935
Tjaldstæði í Reykjarfirði,66.258682,-22.087537,,,,,,Ferðaþjónustan Reykjarfirði á Hornströndum,http://www.reykjarfjordur.is,+354 456 7545,,,,,https://www.openstreetmap.org/way/403279760
Tjaldstæði í Reykjarfirði,65.927369,-22.424627,,,,,,,https://rnes.is,+354 456 4844; +354 896 5075,yes,yes,yes,,https://www.openstreetmap.org/way/717503477
Tjaldstæðið Drangsnesi,65.69129,-21.438593,yes,Drangsnes,May 15 – September 15,,,,https://www.drangsnes.is,+354 899 5568,,,,,https://www.openstreetmap.org/way/484517843
Tjaldstæðið Grettislaug,65.880655,-19.736842,,,,Mo-Su 07:00-24:00; PH unknown,,,https://www.drangey.net/,+354 821 0090;+354 821 0091,yes,yes,yes,yes,https://www.openstreetmap.org/way/298276919
Tjaldstæðið Langbrók,63.732069,-20.037149,,,,,,,,+354 863 4662,yes,yes,yes,,https://www.openstreetmap.org/way/484881021
Tjaldstæðið á Húsabakka,65.924756,-18.567764,,,,,,,http://www.husabakki.is,+354 511 2800,,,,,https://www.openstreetmap.org/way/436504168
Tjaldstæðið á Möðrudal,65.372946,-15.88263,,,,,,Fjalladýrð,https://www.fjalladyrd.is/,+354 471 1858,yes,yes,yes,yes,https://www.openstreetmap.org/way/484569756
Tjaldstæðið á Reykhólum,65.445491,-22.201588,,,,,,,https://www.reykholar.is/,+354 434 7738,,,yes,,https://www.openstreetmap.org/way/217543815
Tjaldsvæði Eyjafjarðarsveitar,65.57386,-18.090192,,,,,,,https://www.eyjafjardarsveit.is,+354 464 8140,,,,,https://www.openstreetmap.org/way/485371939
Tjaldsvæði Flateyrar,66.052142,-23.509892,,,,,,,https://www.litlabyli.com/,+354 848 0920,,,,,https://www.openstreetmap.org/way/545060271
Tjaldsvæði Hauganesi,65.92379,-18.305927,,,,,,,https://www.ektafiskur.is/en/hauganes-camping-area/,,,,,,https://www.openstreetmap.org/node/4997759823
Tjaldsvæði Hríseyjar,65.978184,-18.373629,,,,,,,https://www.visitakureyri.is/,+354 461 2255,yes,yes,yes,yes,https://www.openstreetmap.org/way/485373297
Tjaldsvæði Lundi,66.073039,-16.430936,,,,,,,,+354 869 7672,,,,,https://www.openstreetmap.org/way/181868067
Tjaldsvæði Látrum,66.392084,-23.030689,,,,,,,,,,,,,https://www.openstreetmap.org/node/610811389
Tjaldsvæði Sandgerðis,64.039812,-22.6969,yes,Sandgerði,all year round,,,,https://istay.is/,+354 854 8424,yes,yes,yes,yes,https://www.openstreetmap.org/way/197595763
Tjaldsvæði Seyðisfjarðar,65.260441,-14.011864,yes,Seyðisfjörður,April 1st – October 31.,May-Sep 0:00-24:00,,,https://www.visitseydisfjordur.com/project/camping-and-caravan-site/,+354 472 1521,yes,yes,yes,yes,https://www.openstreetmap.org/way/197586725
Tjaldsvæði Siglufjarðar,66.149703,-18.910052,yes,Siglufjörður,15th of May – 15th of October (depends on weather),,,,https://www.fjallabyggd.is/,+354 464 9100,,,,,https://www.openstreetmap.org/way/485489034
Tjaldsvæði Skipalæk,65.280841,-14.433884,,,,,,,https://tjalda.is/skipalaekur,+354 861 1961,yes,yes,yes,yes,https://www.openstreetmap.org/way/208260949
Tjaldsvæði Starfsmannafélags ÍSAL,64.255559,-20.500344,,,,,,,,,,,,,https://www.openstreetmap.org/way/132253301
Tjaldsvæði Súðavíkur,66.036576,-22.990784,,,,,,,,+354 848 7959,yes,yes,,yes,https://www.openstreetmap.org/way/713664783
Tjaldsvæði VR,64.279862,-20.508868,,,,,,VR,,,,,,,https://www.openstreetmap.org/way/712281091
Tjaldsvæði Vopnafjarðar,65.757372,-14.827305,,,,,,,https://www.vopnafjardarhreppur.is/,+354 473 1300;+354 894 2513,yes,yes,yes,yes,https://www.openstreetmap.org/way/220753597
Tjaldsvæði Úthlíð,64.275577,-20.441345,,,,24/7,,,https://www.uthlid.is/,+354 699 5500,hot,yes,,,https://www.openstreetmap.org/way/484903624
Tjaldsvæði Þorlákshafnar,63.852516,-21.380036,yes,Þorlákshöfn,,,,,https://www.olfus.is/,+354 480 3890;+354 857 1788,,,,,https://www.openstreetmap.org/way/481204125
Tjaldsvæði á Dalvík,65.967923,-18.534419,,,,,,,https://www.dalvik.is,+354 460 4940,yes,yes,yes,yes,https://www.openstreetmap.org/way/485355020
Tjaldsvæði á Patreksfirði,65.592067,-23.972757,,,,,,,https://www.vesturbyggd.is/,,yes,yes,yes,yes,https://www.openstreetmap.org/way/1206330348
Tjaldsvæðið Bolungarvíkur,66.155092,-23.253594,yes,Bolungarvík,15th of May – 30th September,,,,https://www.bolungarvik.is/thjonusta/ferdathjonusta/tjaldsvaedi-bolungarvikur,+354 456 7381,,,,,https://www.openstreetmap.org/way/207925876
Tjaldsvæðið Borgarfirði eystra,65.52349,-13.808193,,,,May 15 - Oct 15,,,https://www.borgarfjordureystri.is/,+354 857 2005,yes,,,,https://www.openstreetmap.org/way/295527746
Tjaldsvæðið Borgarnesi,64.552276,-21.907773,,,,,,,,+354 775 1012,,,,,https://www.openstreetmap.org/way/213907457
Tjaldsvæðið Djúpadal,65.582851,-22.283489,,,,,,,https://tjalda.is/en/tjaldsvaedid_djupadal/,+354 434 7853,,,,,https://www.openstreetmap.org/way/1085764612
Tjaldsvæðið Hvolsvelli,63.749842,-20.2386,,,,,,,,+354 487 8785;+354 866 8945;+354 898 2454,,,,,https://www.openstreetmap.org/way/176717600
Tjaldsvæðið Kleifar,63.801324,-18.057609,,,,,,,,+354 487 4675;+354 861 7546;+354 863 7546,no,yes,yes,yes,https://www.openstreetmap.org/way/183039802
Tjaldsvæðið Norðfjarðar,65.150847,-13.679179,,,,Jun 01-Sep 15,,,https://www.visitfjardabyggd.is/,+354 776 0061,yes,yes,yes,yes,https://www.openstreetmap.org/way/40167535
Tjaldsvæðið Reykholti,64.175695,-20.451108,,,,May 01-Sep 30,,,https://reykholtcampsite.is/,+354 659 22 11,yes,yes,yes,yes,https://www.openstreetmap.org/way/484902379
Tjaldsvæðið Steinsstöðum,65.467956,-19.354575,,,,,,,http://www.steinsstadir.is,+354 899 8762,,,,,https://www.openstreetmap.org/way/181891493
Tjaldsvæðið Varmahlíð,65.551711,-19.455839,,,,,,,https://tjoldumiskagafirdi.is/is/,+354 899 3231,yes,,,,https://www.openstreetmap.org/way/485494007
Tjaldsvæðið Vogum,63.984997,-22.380177,,,,,,Vogar,,,,yes,,,https://www.openstreetmap.org/way/481195992
Tjaldsvæðið við Bleiksána,65.078175,-14.031266,,,,,,,https://fjardabyggd.is/,+354 776 0127,,,,,https://www.openstreetmap.org/way/223572826
Tjaldsvæðið við Faxa,64.227256,-20.333931,yes,At Faxi,20. maí –30. september,,,,,+354 774 7440,no,,,yes,https://www.openstreetmap.org/way/485091591
Tjaldsvæðið við Geysi,64.310199,-20.305603,,,,,,,http://www.geysircenter.is,+354 480 6800,yes,,yes,,https://www.openstreetmap.org/way/466609566
Tjaldsvæðið við Hnjúkabyggð Blönduósi,65.656038,-20.291343,,,,Jul 10-Sep 30,,,https://tjalda.is/en/campsite/hnjukabyggd,+354 837 1300,,,,,https://www.openstreetmap.org/way/806289074
Tjaldsvæðið við Hótel Svartaskóg,65.512996,-14.565062,yes,Svartiskógur,16. May – 12. sept,,,,,+354 471 1030,,,,,https://www.openstreetmap.org/way/182919341
Tjaldsvæðið við Skógafoss,63.521867,-19.513625,,,,,,,https://tjalda.is/en/skogafoss/,,,,,,https://www.openstreetmap.org/node/14094420348
Tjaldsvæðið við Íþróttamiðstöðina Garði,64.072478,-22.656932,,,,,,,,+354 422 7300,,,,,https://www.openstreetmap.org/way/445082473
Tjaldsvæðið Árnesi,64.042315,-20.254203,,,,,,,,,,,,,https://www.openstreetmap.org/way/320851773
Tjaldsvæðið Þingeyrarodda,65.881119,-23.492904,,,,,,,https://www.isafjordur.is/,+354 450 8470,yes,,,yes,https://www.openstreetmap.org/way/280922349
Tjaldsvæðið Þykkvabæ,63.745223,-20.610573,,,,,,,,,,,,,https://www.openstreetmap.org/way/1118290426
Tjaldsvæðið á Akranesi,64.326306,-22.067208,,,,May 1-Sep 30,,,https://akranescampsite.com/,+354 894 2500,yes,yes,yes,yes,https://www.openstreetmap.org/way/253768962
Tjaldsvæðið á Arnastapa,64.767888,-23.633537,,,,,,,https://arnarstapicenter.is/camping/,+354 435 6783,yes,yes,yes,yes,https://www.openstreetmap.org/way/444650162
Tjaldsvæðið á Húsavík,66.051768,-17.343809,yes,Húsavík,May 15 – September 15,,,,https://www.visithusavik.is/accommodation/husavik-campsite,+354 792 0160,,,,,https://www.openstreetmap.org/node/12119051101
Tjaldsvæðið á Skörðum,65.488425,-23.27215,,,,,,,https://tjalda.is/tjaldsvaedid-a-skordum/,,,yes,yes,,https://www.openstreetmap.org/way/1200333124
Tjaldsvæðið á Tálknafirði,65.629059,-23.846275,,,,,,,https://www.talknafjordur.is/ferdamadurinn/,+354 456 2639,yes,,,,https://www.openstreetmap.org/way/484521228
Tjaldsvæðið á Þórshöfn,66.198757,-15.327045,yes,Þórshöfn,1st of June – 31st of August,,,,https://www.langanesbyggd.is/,+354 468 1220,,,,yes,https://www.openstreetmap.org/way/202178652
Tjaldsvæðið í Grindavík,63.843249,-22.42186,,,,Mar-Nov:Mo-Su 08:00-22:00,,,https://grindavikcampsite.com/,+3548309090,,,,,https://www.openstreetmap.org/way/481204276
Tjaldsvæðið í Ólafsfirði,66.071342,-18.649065,,,,,,,https://www.fjallabyggd.is/,,yes,,yes,yes,https://www.openstreetmap.org/way/485487044
Tjaldsvæðið í Þrastaskógi,64.011001,-20.976813,,,,,,,,+354 482 2010;+354 822 5299,,,,,https://www.openstreetmap.org/way/182751315
